J,SIGMA/J,ALPHA(2),ALPHA(4)
25,2.0,3.41932e-02,5.59313e-04
26,0.1,9.71111e-01,9.06798e-01
26,0.2,8.84445e-01,6.66249e-01
26,0.3,7.42185e-01,3.92065e-01
26,0.4,5.74698e-01,2.02431e-01
26,0.5,4.31190e-01,1.04058e-01
26,0.6,3.25702e-01,5.63333e-02
26,0.7,2.51136e-01,3.24488e-02
26,0.8,1.98120e-01,1.97913e-02
26,0.9,1.59661e-01,1.26801e-02
26,1.0,1.31107e-01,8.46911e-03
26,1.1,1.09427e-01,5.85901e-03
26,1.2,9.26275e-02,4.17632e-03
26,1.3,7.93705e-02,3.05416e-03
26,1.4,6.87388e-02,2.28354e-03
26,1.5,6.00898e-02,1.74065e-03
26,1.6,5.29639e-02,1.34952e-03
26,1.7,4.70261e-02,1.06209e-03
26,1.8,4.20279e-02,8.47126e-04
26,1.9,3.77823e-02,6.83804e-04
26,2.0,3.41460e-02,5.57951e-04
